ruta,id,x,y
1,1,-11.933937388542313, -77.05872078713217
1,2,-11.93485909070209, -77.0567003058723
1,3,-11.938000131134816, -77.05833652383163
1,4,-11.940049670686566, -77.05955129170566
1,5,-11.938909692020731, -77.0615841685561
1,6,-11.936932909136278, -77.06036940068205
2,1,-11.937362407567571, -77.06549207074902
2,2,-11.937303028590087, -77.06459687162958
2,3,-11.93342852219194, -77.0625333617949
2,4,-11.932686273266343, -77.06382305544157
2,5,-11.936263894378085, -77.06573483661192
3,1,-11.933339452362205, -77.06219955868585
3,2,-11.932166697743368, -77.06157747116217
3,3,-11.933087087872595, -77.05981741865612
3,4,-11.934259838510053, -77.06045467904623
